FLIGHT i wanna go from denver to indianapolis on november eighteenth
NONE word=i word-1=<s> word+1=wanna word+2=go
NONE word=wanna word-1=i word-2=<s> word+1=go word+2=from
NONE word=go word-1=wanna word-2=i word+1=from word+2=denver
NONE word=from word-1=go word-2=wanna word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=go word+1=to word+2=indianapolis
NONE word=to word-1=denver word-2=from word+1=indianapolis word+2=on
TOLOC.CITY_NAME-B word=indianapolis word-1=to word-2=denver word+1=on word+2=november
NONE word=on word-1=indianapolis word-2=to word+1=november word+2=eighteenth
MONTH_NAME-B word=november word-1=on word-2=indianapolis word+1=eighteenth word+2=</s>
DAY_NUMBER-B word=eighteenth word-1=november word-2=on word+1=</s>

FLIGHT i wanna go from denver to raleigh on december tenth leaving in the morning
NONE word=i word-1=<s> word+1=wanna word+2=go
NONE word=wanna word-1=i word-2=<s> word+1=go word+2=from
NONE word=go word-1=wanna word-2=i word+1=from word+2=denver
NONE word=from word-1=go word-2=wanna word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=go word+1=to word+2=raleigh
NONE word=to word-1=denver word-2=from word+1=raleigh word+2=on
TOLOC.CITY_NAME-B word=raleigh word-1=to word-2=denver word+1=on word+2=december
NONE word=on word-1=raleigh word-2=to word+1=december word+2=tenth
MONTH_NAME-B word=december word-1=on word-2=raleigh word+1=tenth word+2=leaving
DAY_NUMBER-B word=tenth word-1=december word-2=on word+1=leaving word+2=in
NONE word=leaving word-1=tenth word-2=december word+1=in word+2=the
NONE word=in word-1=leaving word-2=tenth word+1=the word+2=morning
NONE word=the word-1=in word-2=leaving word+1=morning word+2=</s>
DEPART.PERIOD_OF_DAY-B word=morning word-1=the word-2=in word+1=</s>

CITY denver colorado
CITY_NAME-B word=denver word-1=<s> word+1=colorado word+2=</s>
STATE_NAME-B word=colorado word-1=denver word-2=<s> word+1=</s>

DATE_TIME after nine am on march twenty fifth
NONE word=after word-1=<s> word+1=nine word+2=am
TIME-B word=nine word-1=after word-2=<s> word+1=am word+2=on
PERIOD_OF_DAY-B word=am word-1=nine word-2=after word+1=on word+2=march
NONE word=on word-1=am word-2=nine word+1=march word+2=twenty
MONTH_NAME-B word=march word-1=on word-2=am word+1=twenty word+2=fifth
DAY_NUMBER-B word=twenty word-1=march word-2=on word+1=fifth word+2=</s>
DAY_NUMBER-I word=fifth word-1=twenty word-2=march word+1=</s>

CAR budget
RENTAL_COMPANY-B word=budget word-1=<s> word+1=</s>

RETURN i would like to return on december fifteenth
NONE word=i word-1=<s> word+1=would word+2=like
NONE word=would word-1=i word-2=<s> word+1=like word+2=to
NONE word=like word-1=would word-2=i word+1=to word+2=return
NONE word=to word-1=like word-2=would word+1=return word+2=on
NONE word=return word-1=to word-2=like word+1=on word+2=december
NONE word=on word-1=return word-2=to word+1=december word+2=fifteenth
RETURN.MONTH_NAME-B word=december word-1=on word-2=return word+1=fifteenth word+2=</s>
RETURN.DAY_NUMBER-B word=fifteenth word-1=december word-2=on word+1=</s>

CITY denver colorado
CITY_NAME-B word=denver word-1=<s> word+1=colorado word+2=</s>
STATE_NAME-B word=colorado word-1=denver word-2=<s> word+1=</s>

DATE_TIME after twelve pm
TIME_RELATIVE-B word=after word-1=<s> word+1=twelve word+2=pm
TIME-B word=twelve word-1=after word-2=<s> word+1=pm word+2=</s>
PERIOD_OF_DAY-B word=pm word-1=twelve word-2=after word+1=</s>

FLIGHT i want a round trip flight from denver to chicago on december tenth returning on december fifteenth
NONE word=i word-1=<s> word+1=want word+2=a
NONE word=want word-1=i word-2=<s> word+1=a word+2=round
NONE word=a word-1=want word-2=i word+1=round word+2=trip
ROUND_TRIP-B word=round word-1=a word-2=want word+1=trip word+2=flight
ROUND_TRIP-I word=trip word-1=round word-2=a word+1=flight word+2=from
NONE word=flight word-1=trip word-2=round word+1=from word+2=denver
NONE word=from word-1=flight word-2=trip word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=flight word+1=to word+2=chicago
NONE word=to word-1=denver word-2=from word+1=chicago word+2=on
TOLOC.CITY_NAME-B word=chicago word-1=to word-2=denver word+1=on word+2=december
NONE word=on word-1=chicago word-2=to word+1=december word+2=tenth
MONTH_NAME-B word=december word-1=on word-2=chicago word+1=tenth word+2=returning
DAY_NUMBER-B word=tenth word-1=december word-2=on word+1=returning word+2=on
NONE word=returning word-1=tenth word-2=december word+1=on word+2=december
NONE word=on word-1=returning word-2=tenth word+1=december word+2=fifteenth
RETURN.MONTH_NAME-B word=december word-1=on word-2=returning word+1=fifteenth word+2=</s>
RETURN.DAY_NUMBER-B word=fifteenth word-1=december word-2=on word+1=</s>

DATE_TIME anytime is fine
PERIOD_OF_DAY-B word=anytime word-1=<s> word+1=is word+2=fine
NONE word=is word-1=anytime word-2=<s> word+1=fine word+2=</s>
NONE word=fine word-1=is word-2=anytime word+1=</s>

FLIGHT i'd like to go to newark new jersey
NONE word=i'd word-1=<s> word+1=like word+2=to
NONE word=like word-1=i'd word-2=<s> word+1=to word+2=go
NONE word=to word-1=like word-2=i'd word+1=go word+2=to
NONE word=go word-1=to word-2=like word+1=to word+2=newark
NONE word=to word-1=go word-2=to word+1=newark word+2=new
TOLOC.CITY_NAME-B word=newark word-1=to word-2=go word+1=new word+2=jersey
STATE_NAME-B word=new word-1=newark word-2=to word+1=jersey word+2=</s>
STATE_NAME-I word=jersey word-1=new word-2=newark word+1=</s>

FLIGHT i want to leave denver on december tenth nineteen ninety nine
NONE word=i word-1=<s> word+1=want word+2=to
NONE word=want word-1=i word-2=<s> word+1=to word+2=leave
NONE word=to word-1=want word-2=i word+1=leave word+2=denver
NONE word=leave word-1=to word-2=want word+1=denver word+2=on
FROMLOC.CITY_NAME-B word=denver word-1=leave word-2=to word+1=on word+2=december
NONE word=on word-1=denver word-2=leave word+1=december word+2=tenth
MONTH_NAME-B word=december word-1=on word-2=denver word+1=tenth word+2=nineteen
DAY_NUMBER-B word=tenth word-1=december word-2=on word+1=nineteen word+2=ninety
NONE word=nineteen word-1=tenth word-2=december word+1=ninety word+2=nine
NONE word=ninety word-1=nineteen word-2=tenth word+1=nine word+2=</s>
NONE word=nine word-1=ninety word-2=nineteen word+1=</s>

RETURN and return on december fifteenth in the afternoon
NONE word=and word-1=<s> word+1=return word+2=on
NONE word=return word-1=and word-2=<s> word+1=on word+2=december
NONE word=on word-1=return word-2=and word+1=december word+2=fifteenth
RETURN.MONTH_NAME-B word=december word-1=on word-2=return word+1=fifteenth word+2=in
RETURN.DAY_NUMBER-B word=fifteenth word-1=december word-2=on word+1=in word+2=the
NONE word=in word-1=fifteenth word-2=december word+1=the word+2=afternoon
NONE word=the word-1=in word-2=fifteenth word+1=afternoon word+2=</s>
RETURN.PERIOD_OF_DAY-B word=afternoon word-1=the word-2=in word+1=</s>

CITY denver
CITY_NAME-B word=denver word-1=<s> word+1=</s>

CAR budget rent a car
RENTAL_COMPANY-B word=budget word-1=<s> word+1=rent word+2=a
NONE word=rent word-1=budget word-2=<s> word+1=a word+2=car
NONE word=a word-1=rent word-2=budget word+1=car word+2=</s>
NONE word=car word-1=a word-2=rent word+1=</s>

CITY chicago
CITY_NAME-B word=chicago word-1=<s> word+1=</s>

DATE_TIME anytime of the day
PERIOD_OF_DAY-B word=anytime word-1=<s> word+1=of word+2=the
NONE word=of word-1=anytime word-2=<s> word+1=the word+2=day
NONE word=the word-1=of word-2=anytime word+1=day word+2=</s>
NONE word=day word-1=the word-2=of word+1=</s>

DESTINATION and go to chicago
NONE word=and word-1=<s> word+1=go word+2=to
NONE word=go word-1=and word-2=<s> word+1=to word+2=chicago
NONE word=to word-1=go word-2=and word+1=chicago word+2=</s>
TOLOC.CITY_NAME-B word=chicago word-1=to word-2=go word+1=</s>

FLIGHT i need a round trip flight from denver to chicago
NONE word=i word-1=<s> word+1=need word+2=a
NONE word=need word-1=i word-2=<s> word+1=a word+2=round
NONE word=a word-1=need word-2=i word+1=round word+2=trip
ROUND_TRIP-B word=round word-1=a word-2=need word+1=trip word+2=flight
ROUND_TRIP-I word=trip word-1=round word-2=a word+1=flight word+2=from
NONE word=flight word-1=trip word-2=round word+1=from word+2=denver
NONE word=from word-1=flight word-2=trip word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=flight word+1=to word+2=chicago
NONE word=to word-1=denver word-2=from word+1=chicago word+2=</s>
TOLOC.CITY_NAME-B word=chicago word-1=to word-2=denver word+1=</s>

DEPART_TIME okay let's try doing the same flight anytime
NONE word=okay word-1=<s> word+1=let's word+2=try
NONE word=let's word-1=okay word-2=<s> word+1=try word+2=doing
NONE word=try word-1=let's word-2=okay word+1=doing word+2=the
NONE word=doing word-1=try word-2=let's word+1=the word+2=same
NONE word=the word-1=doing word-2=try word+1=same word+2=flight
NONE word=same word-1=the word-2=doing word+1=flight word+2=anytime
NONE word=flight word-1=same word-2=the word+1=anytime word+2=</s>
DEPART.PERIOD_OF_DAY-B word=anytime word-1=flight word-2=same word+1=</s>

CITY cedar rapids iowa
CITY_NAME-B word=cedar word-1=<s> word+1=rapids word+2=iowa
CITY_NAME-I word=rapids word-1=cedar word-2=<s> word+1=iowa word+2=</s>
STATE_NAME-B word=iowa word-1=rapids word-2=cedar word+1=</s>

DATE_TIME five pm
TIME-B word=five word-1=<s> word+1=pm word+2=</s>
PERIOD_OF_DAY-B word=pm word-1=five word-2=<s> word+1=</s>

DATE_TIME o'clock in the afternoon
NONE word=o'clock word-1=<s> word+1=in word+2=the
NONE word=in word-1=o'clock word-2=<s> word+1=the word+2=afternoon
NONE word=the word-1=in word-2=o'clock word+1=afternoon word+2=</s>
PERIOD_OF_DAY-B word=afternoon word-1=the word-2=in word+1=</s>

DATE_TIME some preferably in the morning
NONE word=some word-1=<s> word+1=preferably word+2=in
NONE word=preferably word-1=some word-2=<s> word+1=in word+2=the
NONE word=in word-1=preferably word-2=some word+1=the word+2=morning
NONE word=the word-1=in word-2=preferably word+1=morning word+2=</s>
PERIOD_OF_DAY-B word=morning word-1=the word-2=in word+1=</s>

CITY fairbanks alaska
CITY_NAME-B word=fairbanks word-1=<s> word+1=alaska word+2=</s>
STATE_NAME-B word=alaska word-1=fairbanks word-2=<s> word+1=</s>

FLIGHT i would like to leave from fairbanks alaska back to denver colorado
NONE word=i word-1=<s> word+1=would word+2=like
NONE word=would word-1=i word-2=<s> word+1=like word+2=to
NONE word=like word-1=would word-2=i word+1=to word+2=leave
NONE word=to word-1=like word-2=would word+1=leave word+2=from
NONE word=leave word-1=to word-2=like word+1=from word+2=fairbanks
NONE word=from word-1=leave word-2=to word+1=fairbanks word+2=alaska
FROMLOC.CITY_NAME-B word=fairbanks word-1=from word-2=leave word+1=alaska word+2=back
FROMLOC.STATE_NAME-B word=alaska word-1=fairbanks word-2=from word+1=back word+2=to
NONE word=back word-1=alaska word-2=fairbanks word+1=to word+2=denver
NONE word=to word-1=back word-2=alaska word+1=denver word+2=colorado
TOLOC.CITY_NAME-B word=denver word-1=to word-2=back word+1=colorado word+2=</s>
TOLOC.STATE_NAME-B word=colorado word-1=denver word-2=to word+1=</s>

FROM i want to fly from denver to chicago on december tenth
NONE word=i word-1=<s> word+1=want word+2=to
NONE word=want word-1=i word-2=<s> word+1=to word+2=fly
NONE word=to word-1=want word-2=i word+1=fly word+2=from
NONE word=fly word-1=to word-2=want word+1=from word+2=denver
NONE word=from word-1=fly word-2=to word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=fly word+1=to word+2=chicago
NONE word=to word-1=denver word-2=from word+1=chicago word+2=on
TOLOC.CITY_NAME-B word=chicago word-1=to word-2=denver word+1=on word+2=december
NONE word=on word-1=chicago word-2=to word+1=december word+2=tenth
MONTH_NAME-B word=december word-1=on word-2=chicago word+1=tenth word+2=</s>
DAY_NUMBER-B word=tenth word-1=december word-2=on word+1=</s>

DATE_TIME do nine am
NONE word=do word-1=<s> word+1=nine word+2=am
TIME-B word=nine word-1=do word-2=<s> word+1=am word+2=</s>
PERIOD_OF_DAY-B word=am word-1=nine word-2=do word+1=</s>

RETURN i would like to come back on a return flight to denver colorado
NONE word=i word-1=<s> word+1=would word+2=like
NONE word=would word-1=i word-2=<s> word+1=like word+2=to
NONE word=like word-1=would word-2=i word+1=to word+2=come
NONE word=to word-1=like word-2=would word+1=come word+2=back
NONE word=come word-1=to word-2=like word+1=back word+2=on
NONE word=back word-1=come word-2=to word+1=on word+2=a
NONE word=on word-1=back word-2=come word+1=a word+2=return
NONE word=a word-1=on word-2=back word+1=return word+2=flight
NONE word=return word-1=a word-2=on word+1=flight word+2=to
NONE word=flight word-1=return word-2=a word+1=to word+2=denver
NONE word=to word-1=flight word-2=return word+1=denver word+2=colorado
RETURN.CITY_NAME-B word=denver word-1=to word-2=flight word+1=colorado word+2=</s>
RETURN.STATE_NAME-B word=colorado word-1=denver word-2=to word+1=</s>

FLIGHT i will take flight option number one please
NONE word=i word-1=<s> word+1=will word+2=take
NONE word=will word-1=i word-2=<s> word+1=take word+2=flight
NONE word=take word-1=will word-2=i word+1=flight word+2=option
NONE word=flight word-1=take word-2=will word+1=option word+2=number
NONE word=option word-1=flight word-2=take word+1=number word+2=one
NONE word=number word-1=option word-2=flight word+1=one word+2=please
FLIGHT_NUMBER-B word=one word-1=number word-2=option word+1=please word+2=</s>
NONE word=please word-1=one word-2=number word+1=</s>

HOTEL i don't wanna hotel in chicago
NONE word=i word-1=<s> word+1=don't word+2=wanna
NEGATIVE-B word=don't word-1=i word-2=<s> word+1=wanna word+2=hotel
NONE word=wanna word-1=don't word-2=i word+1=hotel word+2=in
NONE word=hotel word-1=wanna word-2=don't word+1=in word+2=chicago
NONE word=in word-1=hotel word-2=wanna word+1=chicago word+2=</s>
CITY_NAME-B word=chicago word-1=in word-2=hotel word+1=</s>

FLIGHT i wanna go from denver to philadelphia on december twenty first
NONE word=i word-1=<s> word+1=wanna word+2=go
NONE word=wanna word-1=i word-2=<s> word+1=go word+2=from
NONE word=go word-1=wanna word-2=i word+1=from word+2=denver
NONE word=from word-1=go word-2=wanna word+1=denver word+2=to
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=go word+1=to word+2=philadelphia
NONE word=to word-1=denver word-2=from word+1=philadelphia word+2=on
TOLOC.CITY_NAME-B word=philadelphia word-1=to word-2=denver word+1=on word+2=december
NONE word=on word-1=philadelphia word-2=to word+1=december word+2=twenty
MONTH_NAME-B word=december word-1=on word-2=philadelphia word+1=twenty word+2=first
DAY_NUMBER-B word=twenty word-1=december word-2=on word+1=first word+2=</s>
DAY_NUMBER-I word=first word-1=twenty word-2=december word+1=</s>

FLIGHT i wanna travel a round trip flight from denver colorado
NONE word=i word-1=<s> word+1=wanna word+2=travel
NONE word=wanna word-1=i word-2=<s> word+1=travel word+2=a
NONE word=travel word-1=wanna word-2=i word+1=a word+2=round
NONE word=a word-1=travel word-2=wanna word+1=round word+2=trip
ROUND_TRIP-B word=round word-1=a word-2=travel word+1=trip word+2=flight
ROUND_TRIP-I word=trip word-1=round word-2=a word+1=flight word+2=from
NONE word=flight word-1=trip word-2=round word+1=from word+2=denver
NONE word=from word-1=flight word-2=trip word+1=denver word+2=colorado
FROMLOC.CITY_NAME-B word=denver word-1=from word-2=flight word+1=colorado word+2=</s>
STATE_NAME-B word=colorado word-1=denver word-2=from word+1=</s>

DESTINATION i want to first fly to cedar rapids
NONE word=i word-1=<s> word+1=want word+2=to
NONE word=want word-1=i word-2=<s> word+1=to word+2=first
NONE word=to word-1=want word-2=i word+1=first word+2=fly
NONE word=first word-1=to word-2=want word+1=fly word+2=to
NONE word=fly word-1=first word-2=to word+1=to word+2=cedar
NONE word=to word-1=fly word-2=first word+1=cedar word+2=rapids
TOLOC.CITY_NAME-B word=cedar word-1=to word-2=fly word+1=rapids word+2=</s>
TOLOC.CITY_NAME-I word=rapids word-1=cedar word-2=to word+1=</s>

FLIGHT i would like to leave newark on december twenty second in the afternoon
NONE word=i word-1=<s> word+1=would word+2=like
NONE word=would word-1=i word-2=<s> word+1=like word+2=to
NONE word=like word-1=would word-2=i word+1=to word+2=leave
NONE word=to word-1=like word-2=would word+1=leave word+2=newark
NONE word=leave word-1=to word-2=like word+1=newark word+2=on
FROMLOC.CITY_NAME-B word=newark word-1=leave word-2=to word+1=on word+2=december
NONE word=on word-1=newark word-2=leave word+1=december word+2=twenty
MONTH_NAME-B word=december word-1=on word-2=newark word+1=twenty word+2=second
DAY_NUMBER-B word=twenty word-1=december word-2=on word+1=second word+2=in
DAY_NUMBER-I word=second word-1=twenty word-2=december word+1=in word+2=the
NONE word=in word-1=second word-2=twenty word+1=the word+2=afternoon
NONE word=the word-1=in word-2=second word+1=afternoon word+2=</s>
PERIOD_OF_DAY-B word=afternoon word-1=the word-2=in word+1=</s>

DATE_TIME december twenty sixth
